#Types Before Cut: 8116
#Types After Cut: 7203
#Search Hits: 0
244	8	27.178	переехали
245	8	27.178	смешок
246	8	27.178	смотри
247	8	27.178	твой
248	8	27.178	утра
249	8	27.178	училась
250	8	27.178	эт
251	11	27.015	купил
252	11	27.015	маленький
253	12	26.967	купить
254	12	26.967	семье
255	12	26.967	час
256	53	26.835	три
257	19	26.570	вам
258	98	26.126	же
259	14	25.551	тему
260	20	24.948	моя
261	17	24.677	куда
262	9	24.477	двести
263	9	24.477	детстве
264	9	24.477	едем
265	9	24.477	пожалуйста
266	9	24.477	получилось
267	18	24.238	могу
268	18	24.238	таки
269	11	24.033	специально
270	10	23.967	какими
271	10	23.967	немножко
272	10	23.967	ходить
273	10	23.967	честно
274	7	23.781	бывают
275	7	23.781	восемьдесят
276	7	23.781	говоришь
277	7	23.781	детство
278	7	23.781	красивый
279	7	23.781	ненавижу
280	7	23.781	ноль
281	7	23.781	пятьдесят
282	7	23.781	студентов
283	7	23.781	учитель
284	14	23.656	н
285	29	22.947	здесь
286	8	21.303	брали
287	8	21.303	говори
288	8	21.303	думаешь
289	8	21.303	здорово
290	8	21.303	квартире
291	8	21.303	рассказывала
292	101	21.245	или
293	10	21.139	бывает
294	10	21.139	вещи
295	9	20.952	собственно
296	19	20.555	каждый
297	14	20.409	часов
298	6	20.383	onion
299	6	20.383	антифриз
300	6	20.383	бабуля
301	6	20.383	бешбармак
302	6	20.383	бутово
303	6	20.383	вау
304	6	20.383	выпускной
305	6	20.383	гончар
306	6	20.383	двенадцать
307	6	20.383	ехать
308	6	20.383	жигули
309	6	20.383	иду
310	6	20.383	кадром
311	6	20.383	колесо
312	6	20.383	коллектив
313	6	20.383	кормила
314	6	20.383	круто
315	6	20.383	лук
316	6	20.383	мгм
317	6	20.383	неудобно
318	6	20.383	никит
319	6	20.383	орешки
320	6	20.383	погрей
321	6	20.383	причём
322	6	20.383	пятнадцать
323	6	20.383	саш
324	6	20.383	спал
325	6	20.383	сынок
326	6	20.383	танцами
327	6	20.383	убирай
328	6	20.383	учился
329	6	20.383	учителей
330	6	20.383	учителем
331	6	20.383	учителя
332	6	20.383	холодно
333	6	20.383	читаю
334	6	20.383	чувак
335	6	20.383	этаж
336	12	20.277	завтра
337	12	20.277	минус
338	15	19.977	хотел
339	37	19.889	эту
340	11	19.515	сюда
341	123	19.404	уже
342	14	19.001	жить
343	10	18.837	другую
344	20	18.705	ей
345	9	18.291	историю
346	9	18.291	понял
347	9	18.291	скажем
348	9	18.291	смотреть
349	7	18.156	домой
350	7	18.156	женщины
351	7	18.156	институте
352	7	18.156	интересные
353	7	18.156	маленькая
354	7	18.156	нечего
355	7	18.156	поговорить
356	7	18.156	понравились
357	7	18.156	твоя
358	8	17.978	берут
359	8	17.978	купила
360	8	17.978	машине
361	8	17.978	нравятся
362	8	17.978	ходят
363	14	17.709	хоть
364	18	17.562	кого
365	21	17.225	чего
366	5	16.986	num
367	5	16.986	ам
368	5	16.986	арахис
369	5	16.986	боже
370	5	16.986	венера
371	5	16.986	вложил
372	5	16.986	выставках
373	5	16.986	гешу
374	5	16.986	грязь
375	5	16.986	делаем
376	5	16.986	ильямихайлович
377	5	16.986	имею
378	5	16.986	инопланетян
379	5	16.986	интересного
380	5	16.986	камеру
381	5	16.986	каракатицах
382	5	16.986	классов
383	5	16.986	комнате
384	5	16.986	крестик
385	5	16.986	крысу
386	5	16.986	лекцию
387	5	16.986	лука
388	5	16.986	любишь
389	5	16.986	маккартни
390	5	16.986	марс
391	5	16.986	миндаль
392	5	16.986	нагло
393	5	16.986	най
394	5	16.986	ненавидят
395	5	16.986	нуу
396	5	16.986	одиннадцать
397	5	16.986	озеро
398	5	16.986	подожди
399	5	16.986	построили
400	5	16.986	преподаватели
401	5	16.986	прихожу
402	5	16.986	проронил
403	5	16.986	пятёрка
404	5	16.986	ребёнок
405	5	16.986	родителям
406	5	16.986	салют
407	5	16.986	слушай
408	5	16.986	сходить
409	5	16.986	счёт
410	5	16.986	тину
411	5	16.986	увидела
412	5	16.986	фильм
413	5	16.986	хихи
414	5	16.986	читает
415	5	16.986	чё
416	5	16.986	эд
417	235	16.972	он
418	10	16.897	нормально
419	13	16.712	долго
420	13	16.712	совершенно
421	14	16.520	говоря
422	14	16.520	семьи
423	14	16.520	смысле
424	21	16.462	делать
425	15	16.447	друг
426	9	16.143	зала
427	9	16.143	считаю
428	9	16.143	читать
429	11	16.141	реально
430	28	16.102	себя
431	12	15.721	метро
432	13	15.505	минут
433	8	15.499	вдруг
434	8	15.499	любовь
435	8	15.499	мной
436	8	15.499	модель
437	8	15.499	написано
438	8	15.499	посмотреть
439	8	15.499	родителей
440	14	15.421	дома
441	7	15.054	забыл
442	7	15.054	знаете
443	7	15.054	мое
444	7	15.054	моих
445	7	15.054	отец
446	7	15.054	ребенок
447	6	15.046	m
448	6	15.046	друзей
449	6	15.046	лагеря
450	6	15.046	мем
451	6	15.046	нету
452	6	15.046	паре
453	6	15.046	поняла
454	17	14.785	дальше
455	20	14.745	две
456	11	14.738	главное
457	11	14.738	места
458	11	14.738	море
459	11	14.738	принципе
460	86	14.677	были
461	22	14.672	одна
462	12	14.491	какую
463	12	14.491	месте
464	15	14.481	детей
465	13	14.395	рублей
466	9	14.346	другому
467	9	14.346	друзья
468	9	14.346	пришла
469	9	14.346	рядом
470	9	14.346	улице
471	16	13.770	равно
472	46	13.705	тогда
473	4	13.589	apro
474	4	13.589	glass
475	4	13.589	part
476	4	13.589	pl
477	4	13.589	spro
478	4	13.589	tor
479	4	13.589	автобусе
480	4	13.589	бабушку
481	4	13.589	барашков
482	4	13.589	бассейн
483	4	13.589	беззеркалки
484	4	13.589	братьях
485	4	13.589	вай
486	4	13.589	венеру
487	4	13.589	вернее
488	4	13.589	веселая
489	4	13.589	видела
490	4	13.589	восемнадцать
491	4	13.589	всякое
492	4	13.589	вышло
